Problem 4
A, m, coins, time
2147, 93, [1 2 1 0 89 ],  7
2148, 90, [0 0 0 1 89 ],  7
2149, 91, [1 0 0 1 89 ],  7
2150, 91, [0 1 0 1 89 ],  7
2151, 92, [1 1 0 1 89 ],  7
2152, 92, [0 2 0 1 89 ],  7
2153, 93, [1 2 0 1 89 ],  7
2154, 91, [0 0 1 1 89 ],  7
2155, 92, [1 0 1 1 89 ],  7
2156, 92, [0 1 1 1 89 ],  7
2157, 93, [1 1 1 1 89 ],  7
2158, 93, [0 2 1 1 89 ],  7
2159, 94, [1 2 1 1 89 ],  7
2160, 90, [0 0 0 0 90 ],  7
2161, 91, [1 0 0 0 90 ],  7
2162, 91, [0 1 0 0 90 ],  7
2163, 92, [1 1 0 0 90 ],  7
2164, 92, [0 2 0 0 90 ],  7
2165, 93, [1 2 0 0 90 ],  7
2166, 91, [0 0 1 0 90 ],  7
2167, 92, [1 0 1 0 90 ],  8
2168, 92, [0 1 1 0 90 ],  8
2169, 93, [1 1 1 0 90 ],  8
2170, 93, [0 2 1 0 90 ],  8
2171, 94, [1 2 1 0 90 ],  8
2172, 91, [0 0 0 1 90 ],  8
2173, 92, [1 0 0 1 90 ],  8
2174, 92, [0 1 0 1 90 ],  8
2175, 93, [1 1 0 1 90 ],  8
2176, 93, [0 2 0 1 90 ],  8
2177, 94, [1 2 0 1 90 ],  8
2178, 92, [0 0 1 1 90 ],  8
2179, 93, [1 0 1 1 90 ],  8
2180, 93, [0 1 1 1 90 ],  8
2181, 94, [1 1 1 1 90 ],  8
2182, 94, [0 2 1 1 90 ],  8
2183, 95, [1 2 1 1 90 ],  8
2184, 91, [0 0 0 0 91 ],  8
2185, 92, [1 0 0 0 91 ],  8
2186, 92, [0 1 0 0 91 ],  8
2187, 93, [1 1 0 0 91 ],  8
2188, 93, [0 2 0 0 91 ],  8
2189, 94, [1 2 0 0 91 ],  8
2190, 92, [0 0 1 0 91 ],  8
2191, 93, [1 0 1 0 91 ],  8
2192, 93, [0 1 1 0 91 ],  8
2193, 94, [1 1 1 0 91 ],  8
2194, 94, [0 2 1 0 91 ],  8
2195, 95, [1 2 1 0 91 ],  8
2196, 92, [0 0 0 1 91 ],  8
2197, 93, [1 0 0 1 91 ],  8
2198, 93, [0 1 0 1 91 ],  8
2199, 94, [1 1 0 1 91 ],  8
2200, 94, [0 2 0 1 91 ],  8


Problem 6
A, m, coins, time
2000, 67, [0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 66 ],  8
2001, 68, [1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 66 ],  8
2002, 67, [0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 66 ],  8
2003, 68, [1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 66 ],  8
2004, 67, [0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 66 ],  8
2005, 68, [1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 66 ],  8
2006, 67, [0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 66 ],  9
